,Solven_Epsilon,Surface_tension,eg,esp,preorg_energy,C(NaNO3),C(HNO3),C(NaClO4),C(lig),lg(SF),smiles
12,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.0316,0.0,0.1,0.320146286111054,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
13,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.1,0.0,0.1,1.1501421618485586,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
14,34.82,43.9,3.30625,-0.8710939,0.27005790947346914,0,1.0,0.0,0.03,4.230448921378274,N(CCCC)CCCC
15,34.83,43.9,3.32365,-0.9105105,0.7855616803141992,0,1.0,0.0,0.03,4.505149978319906,N(CCCCCCCC)CCCCCCCC
16,15.0,34.0,3.32365,-0.9105105,0.7855616803141992,0,1.0,0.0,0.03,3.778151250383644,N(CCCCCCCC)CCCCCCCC
17,15.0,34.0,2.9317,-0.9652771,0.4693236336513651,0,1.0,0.0,0.03,4.278753600952829,N(CC1C=CC=CC=1)CC1C=CC=CC=1
18,25.0,30.6,2.29645,-0.8572268,3.2416748769079344,1,0.003,0.0,0.1,5.260563379611822,C1C=CC=C(P(=S)(S)C2C=CC=CC=2C(F)(F)F)C=1C(F)(F)F
19,25.0,30.6,2.29645,-0.8572268,3.2416748769079344,1,0.01,0.0,0.1,4.6478873195117245,C1C=CC=C(P(=S)(S)C2C=CC=CC=2C(F)(F)F)C=1C(F)(F)F
20,25.0,30.6,2.29645,-0.8572268,3.2416748769079344,1,0.029,0.0,0.1,3.306337945457893,C1C=CC=C(P(=S)(S)C2C=CC=CC=2C(F)(F)F)C=1C(F)(F)F
21,25.0,30.6,2.29645,-0.8572268,3.2416748769079344,1,0.097,0.0,0.1,1.6901428978562445,C1C=CC=C(P(=S)(S)C2C=CC=CC=2C(F)(F)F)C=1C(F)(F)F
22,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.003,0.0,0.1,0.43312951758048557,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
23,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.01,0.0,0.1,0.3484995702838377,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
24,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.029,0.0,0.1,0.4014005407815441,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
25,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.097,0.0,0.1,0.464787519645937,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
26,2.57,30.1,2.3798,-1.175367,3.173680015718956,0,0.0,0.1,0.1,1.3222192947339193,C1C(Cl)=CC=C(P(=S)(S)C2C=CC(Cl)=CC=2)C=1
27,2.57,30.1,2.4088,-1.150205,3.1499138420046484,0,0.0,0.1,0.1,0.6434526764861874,C1C=CC=C(P(=S)(S)C2C=CC=CC=2)C=1
28,2.57,30.1,2.382,-1.258806,3.251795979796669,0,0.0,0.1,0.1,0.25527250510330607,C1C=C(C)C=C(P(=S)(S)C2C=C(C)C=CC=2C)C=1C
29,2.57,30.1,2.4064,-0.5891646,3.25894953782978,0,0.0,0.1,0.1,0.11394335230683679,C1=CC(P(=S)(S)C2C=CC(C)=CC=2)=CC=C1C
30,2.57,30.1,2.40545,-1.169621,3.260067662168284,0,0.0,0.1,0.1,0.0,C1(Cl)=CC(P(=S)(S)C2C=C(Cl)C(C)=C(Cl)C=2)=CC(Cl)=C1C
